epoch,loss,acc,acc_final20,norm,early,late,val_acc,val_acc_f20,val_norm,time_s
1,1.1776,0.3443,0.3407,0.9991,1.1776,1.1776,0.0000,0.0000,0.0000,2.5
2,1.1079,0.3345,0.3336,0.9843,1.1079,1.1079,0.0000,0.0000,0.0000,1.6
3,1.1081,0.3414,0.3392,0.9805,1.1081,1.1081,0.0000,0.0000,0.0000,1.6
4,1.1053,0.3458,0.3423,0.9775,1.1053,1.1053,0.0000,0.0000,0.0000,1.5
5,1.1039,0.3526,0.3492,0.9744,1.1039,1.1039,0.3129,0.2890,0.8579,2.3
6,1.0960,0.3583,0.3534,0.9511,1.0960,1.0960,0.0000,0.0000,0.0000,1.6
7,1.0943,0.3572,0.3567,0.9405,1.0943,1.0943,0.0000,0.0000,0.0000,1.5
8,1.0873,0.3585,0.3663,0.9340,1.0873,1.0873,0.0000,0.0000,0.0000,1.5
9,1.0877,0.3506,0.3518,0.9441,1.0877,1.0877,0.0000,0.0000,0.0000,1.5
10,1.0896,0.3481,0.3462,0.9571,1.0896,1.0896,0.3605,0.3530,0.9170,2.3
11,1.0848,0.3473,0.3404,0.9508,1.0848,1.0848,0.0000,0.0000,0.0000,1.5
12,1.0826,0.3512,0.3576,0.9443,1.0826,1.0826,0.0000,0.0000,0.0000,1.5
13,1.0786,0.3392,0.3368,0.9450,1.0786,1.0786,0.0000,0.0000,0.0000,1.5
14,1.0809,0.3462,0.3442,0.9540,1.0809,1.0809,0.0000,0.0000,0.0000,1.5
15,1.0737,0.3534,0.3526,0.9403,1.0737,1.0737,0.3657,0.3920,0.9210,2.4
16,1.0733,0.3437,0.3514,0.9526,1.0733,1.0733,0.0000,0.0000,0.0000,1.6
17,1.0735,0.3472,0.3548,0.9465,1.0735,1.0735,0.0000,0.0000,0.0000,1.5
18,1.0733,0.3442,0.3424,0.9434,1.0733,1.0733,0.0000,0.0000,0.0000,1.5
19,1.0706,0.3613,0.3664,0.9386,1.0706,1.0706,0.0000,0.0000,0.0000,1.6
20,1.0756,0.3382,0.3414,0.9551,1.0756,1.0756,0.3384,0.3430,0.9247,2.4
21,1.0731,0.3488,0.3535,0.9554,1.0731,1.0731,0.0000,0.0000,0.0000,1.5
22,1.0757,0.3487,0.3453,0.9450,1.0757,1.0757,0.0000,0.0000,0.0000,1.5
23,1.0742,0.3481,0.3487,0.9508,1.0742,1.0742,0.0000,0.0000,0.0000,1.5
24,1.0649,0.3593,0.3600,0.9473,1.0649,1.0649,0.0000,0.0000,0.0000,1.5
25,1.0620,0.3577,0.3589,0.9383,1.0620,1.0620,0.3332,0.3340,0.8720,2.6
26,1.0704,0.3510,0.3465,0.9446,1.0704,1.0704,0.0000,0.0000,0.0000,1.9
27,1.0661,0.3533,0.3520,0.9454,1.0661,1.0661,0.0000,0.0000,0.0000,1.5
28,1.0727,0.3512,0.3531,0.9411,1.0727,1.0727,0.0000,0.0000,0.0000,1.6
29,1.0665,0.3524,0.3460,0.9414,1.0665,1.0665,0.0000,0.0000,0.0000,1.6
30,1.0743,0.3420,0.3291,0.9363,1.0743,1.0743,0.3422,0.3460,0.8895,2.4
31,1.0671,0.3591,0.3545,0.9405,1.0671,1.0671,0.0000,0.0000,0.0000,1.6
32,1.0633,0.3484,0.3415,0.9348,1.0633,1.0633,0.0000,0.0000,0.0000,1.6
33,1.0613,0.3476,0.3440,0.9343,1.0613,1.0613,0.0000,0.0000,0.0000,1.5
34,1.0609,0.3526,0.3485,0.9406,1.0609,1.0609,0.0000,0.0000,0.0000,1.5
