epoch,loss,acc,acc_final20,norm,early,late,val_acc,val_acc_f20,val_norm,time_s
62,1.3625,0.3617,0.3952,0.7219,0.4447,0.3719,0.0000,0.0000,0.0000,1.3
63,1.3189,0.3824,0.4240,0.6938,0.4326,0.3526,0.0000,0.0000,0.0000,1.3
64,1.2806,0.4008,0.4457,0.6644,0.4202,0.3318,0.0000,0.0000,0.0000,1.3
65,1.2436,0.4123,0.4628,0.6409,0.4110,0.3146,0.2234,0.2285,0.9443,3.1
66,1.2090,0.4319,0.4902,0.6210,0.4017,0.3008,0.0000,0.0000,0.0000,1.3
67,1.1816,0.4421,0.4994,0.6015,0.3939,0.2866,0.0000,0.0000,0.0000,1.3
68,1.1528,0.4512,0.5114,0.5833,0.3849,0.2738,0.0000,0.0000,0.0000,1.2
69,1.1153,0.4703,0.5320,0.5606,0.3768,0.2573,0.0000,0.0000,0.0000,1.3
70,1.0842,0.4812,0.5511,0.5362,0.3650,0.2405,0.2109,0.2215,0.9747,3.1
71,1.0491,0.5018,0.5775,0.5168,0.3601,0.2259,0.0000,0.0000,0.0000,1.3
72,1.0221,0.5123,0.5841,0.4977,0.3519,0.2121,0.0000,0.0000,0.0000,1.3
73,0.9928,0.5207,0.6050,0.4809,0.3438,0.2006,0.0000,0.0000,0.0000,1.3
74,0.9615,0.5392,0.6273,0.4603,0.3363,0.1855,0.0000,0.0000,0.0000,1.3
75,0.9302,0.5517,0.6476,0.4405,0.3285,0.1703,0.2044,0.2150,0.9891,3.5
76,1.6669,0.2203,0.2254,0.9602,0.5445,0.5380,0.0000,0.0000,0.0000,2.6
77,1.5743,0.2341,0.2370,0.9403,0.5341,0.5290,0.0000,0.0000,0.0000,1.3
78,1.5471,0.2433,0.2508,0.9243,0.5281,0.5151,0.0000,0.0000,0.0000,1.3
79,1.5348,0.2568,0.2696,0.9057,0.5226,0.5025,0.0000,0.0000,0.0000,1.3
80,1.5181,0.2669,0.2828,0.8790,0.5107,0.4834,0.2477,0.2380,0.8966,3.1
81,1.5034,0.2880,0.3098,0.8528,0.5012,0.4627,0.0000,0.0000,0.0000,1.3
82,1.4813,0.3026,0.3303,0.8252,0.4892,0.4439,0.0000,0.0000,0.0000,1.2
83,1.4514,0.3254,0.3591,0.7898,0.4763,0.4181,0.0000,0.0000,0.0000,1.2
84,1.4089,0.3452,0.3867,0.7543,0.4604,0.3919,0.0000,0.0000,0.0000,1.3
85,1.3543,0.3722,0.4217,0.7147,0.4454,0.3633,0.2321,0.2510,0.9159,3.1
86,1.2940,0.3969,0.4467,0.6750,0.4268,0.3354,0.0000,0.0000,0.0000,1.3
87,1.2431,0.4190,0.4776,0.6425,0.4148,0.3130,0.0000,0.0000,0.0000,1.3
88,1.1936,0.4366,0.4970,0.6093,0.3981,0.2898,0.0000,0.0000,0.0000,1.2
89,1.1637,0.4514,0.5171,0.5899,0.3915,0.2754,0.0000,0.0000,0.0000,1.3
90,1.1272,0.4673,0.5317,0.5680,0.3810,0.2611,0.2036,0.2095,0.9951,3.1
91,1.0892,0.4804,0.5568,0.5438,0.3728,0.2413,0.0000,0.0000,0.0000,1.3
92,1.0554,0.4938,0.5721,0.5226,0.3618,0.2274,0.0000,0.0000,0.0000,1.3
93,1.0266,0.5097,0.5903,0.5039,0.3552,0.2147,0.0000,0.0000,0.0000,1.3
94,0.9968,0.5221,0.6062,0.4843,0.3473,0.2012,0.0000,0.0000,0.0000,1.3
95,0.9667,0.5344,0.6268,0.4668,0.3411,0.1870,0.2067,0.2180,0.9826,3.1
96,0.9366,0.5467,0.6377,0.4487,0.3328,0.1737,0.0000,0.0000,0.0000,1.2
