dataset,K,N,d_raw,model,pfn_T200,lints_T200,linucb_T200,random_T200,win_lints_pct,win_linucb_pct,win_random_pct
iris,3,150,4,k3_huge_37.8M,17.8,53.3,38.8,133.6,100,100,100
wine,3,178,13,k3_huge_37.8M,11.5,33.1,17.4,133.8,100,92,100
balance-scale,3,625,4,k3_huge_37.8M,81.7,94.2,84.5,133.3,86,58,100
cmc,3,1473,9,k3_huge_37.8M,107.3,118.4,116.6,133.8,90,70,96
page-blocks,5,5473,10,k5_mixed_100K,27.9,97.8,74.5,160.0,100,100,100
optdigits,10,5620,64,k10_huge_37.8M,142.6,172.0,142.1,181.0,100,43,100
yeast,10,1484,8,k10_huge_37.8M,148.4,174.0,147.3,180.0,100,43,100
pendigits,10,10992,16,k10_huge_37.8M,136.0,169.9,128.3,181.4,100,40,100
volkert,10,58310,180,k10_huge_37.8M,173.0,175.9,164.1,180.3,60,20,77
