epoch,loss,acc,acc_final20,norm,early,late,val_acc,val_acc_f20,val_norm,time_s
62,0.6157,0.7011,0.7877,0.3525,0.2437,0.1190,0.0000,0.0000,0.0000,0.9
63,0.6207,0.6959,0.7898,0.3608,0.2493,0.1238,0.0000,0.0000,0.0000,0.9
64,0.6139,0.6997,0.7909,0.3548,0.2456,0.1207,0.0000,0.0000,0.0000,0.9
65,0.6114,0.7020,0.7915,0.3532,0.2449,0.1196,0.6881,0.7790,0.3707,2.8
66,0.6161,0.6990,0.7864,0.3577,0.2478,0.1214,0.0000,0.0000,0.0000,0.9
67,0.6128,0.7011,0.7887,0.3524,0.2445,0.1186,0.0000,0.0000,0.0000,1.0
68,0.6095,0.7051,0.7966,0.3476,0.2418,0.1167,0.0000,0.0000,0.0000,0.9
69,0.6131,0.6994,0.7883,0.3542,0.2456,0.1196,0.0000,0.0000,0.0000,0.9
70,0.6137,0.7006,0.7960,0.3550,0.2457,0.1206,0.6865,0.7725,0.3770,2.8
71,0.6045,0.7058,0.7984,0.3473,0.2422,0.1160,0.0000,0.0000,0.0000,1.0
72,0.6069,0.7021,0.7967,0.3509,0.2460,0.1161,0.0000,0.0000,0.0000,0.9
73,0.6025,0.7068,0.7968,0.3455,0.2414,0.1151,0.0000,0.0000,0.0000,1.0
74,0.6055,0.7044,0.8003,0.3475,0.2431,0.1152,0.0000,0.0000,0.0000,1.0
75,0.6073,0.7025,0.7950,0.3489,0.2428,0.1169,0.6809,0.7670,0.3811,2.9
76,0.6266,0.6941,0.7887,0.3684,0.2556,0.1287,0.0000,0.0000,0.0000,2.5
77,0.6249,0.6983,0.7903,0.3636,0.2510,0.1282,0.0000,0.0000,0.0000,1.0
78,0.6183,0.7004,0.7920,0.3585,0.2476,0.1255,0.0000,0.0000,0.0000,0.9
79,0.6131,0.7068,0.7953,0.3510,0.2436,0.1227,0.0000,0.0000,0.0000,0.9
80,0.6193,0.7025,0.7960,0.3571,0.2485,0.1237,0.6765,0.7615,0.3589,2.9
81,0.6125,0.7056,0.7918,0.3503,0.2434,0.1220,0.0000,0.0000,0.0000,0.9
82,0.6106,0.7046,0.7978,0.3530,0.2471,0.1212,0.0000,0.0000,0.0000,1.0
83,0.6114,0.7064,0.7967,0.3507,0.2445,0.1214,0.0000,0.0000,0.0000,0.9
84,0.6095,0.7051,0.7967,0.3513,0.2456,0.1205,0.0000,0.0000,0.0000,0.9
85,0.6065,0.7060,0.7985,0.3506,0.2468,0.1192,0.6754,0.7590,0.3999,2.7
86,0.6085,0.7052,0.7958,0.3519,0.2460,0.1214,0.0000,0.0000,0.0000,0.9
87,0.6093,0.7056,0.7911,0.3514,0.2456,0.1215,0.0000,0.0000,0.0000,0.9
88,0.6057,0.7086,0.8015,0.3457,0.2412,0.1192,0.0000,0.0000,0.0000,0.9
89,0.6006,0.7110,0.8007,0.3423,0.2408,0.1162,0.0000,0.0000,0.0000,0.9
90,0.6025,0.7100,0.8038,0.3453,0.2423,0.1180,0.7033,0.7950,0.3498,2.7
91,0.6045,0.7093,0.7993,0.3456,0.2428,0.1174,0.0000,0.0000,0.0000,1.0
92,0.6045,0.7075,0.8014,0.3491,0.2454,0.1186,0.0000,0.0000,0.0000,1.0
93,0.6013,0.7105,0.8025,0.3418,0.2403,0.1165,0.0000,0.0000,0.0000,1.0
94,0.6009,0.7088,0.8025,0.3438,0.2422,0.1163,0.0000,0.0000,0.0000,1.0
95,0.6039,0.7095,0.8031,0.3468,0.2450,0.1172,0.6885,0.7685,0.3605,2.8
96,0.5977,0.7120,0.8031,0.3427,0.2405,0.1163,0.0000,0.0000,0.0000,0.9
97,0.5987,0.7105,0.8017,0.3426,0.2416,0.1155,0.0000,0.0000,0.0000,0.9
98,0.5965,0.7120,0.8012,0.3431,0.2428,0.1147,0.0000,0.0000,0.0000,0.9
99,0.6026,0.7093,0.8032,0.3462,0.2436,0.1178,0.0000,0.0000,0.0000,0.9
100,0.5975,0.7108,0.8036,0.3443,0.2440,0.1153,0.7069,0.7905,0.3455,2.8
101,0.6261,0.6971,0.7844,0.3602,0.2474,0.1246,0.0000,0.0000,0.0000,2.5
102,0.6259,0.6961,0.7855,0.3612,0.2473,0.1250,0.0000,0.0000,0.0000,0.9
103,0.6225,0.7007,0.7890,0.3541,0.2419,0.1239,0.0000,0.0000,0.0000,0.9
104,0.6229,0.6981,0.7842,0.3571,0.2449,0.1241,0.0000,0.0000,0.0000,1.0
105,0.6175,0.7004,0.7836,0.3532,0.2431,0.1218,0.6687,0.7355,0.4022,2.7
106,0.6169,0.7020,0.7893,0.3528,0.2434,0.1203,0.0000,0.0000,0.0000,0.9
107,0.6119,0.7029,0.7886,0.3475,0.2396,0.1189,0.0000,0.0000,0.0000,0.9
108,0.6097,0.7057,0.7946,0.3479,0.2415,0.1177,0.0000,0.0000,0.0000,0.9
109,0.6130,0.7026,0.7899,0.3517,0.2433,0.1197,0.0000,0.0000,0.0000,0.9
110,0.6106,0.7031,0.7857,0.3502,0.2423,0.1186,0.6954,0.7545,0.3500,2.9
111,0.6128,0.7035,0.7891,0.3498,0.2414,0.1199,0.0000,0.0000,0.0000,1.0
112,0.6103,0.7058,0.7952,0.3468,0.2393,0.1188,0.0000,0.0000,0.0000,0.9
113,0.6102,0.7040,0.7894,0.3482,0.2399,0.1194,0.0000,0.0000,0.0000,0.9
114,0.6119,0.7042,0.7912,0.3496,0.2413,0.1192,0.0000,0.0000,0.0000,1.0
115,0.6088,0.7040,0.7917,0.3487,0.2420,0.1174,0.6680,0.7505,0.3985,2.8
116,0.6076,0.7031,0.7890,0.3480,0.2431,0.1162,0.0000,0.0000,0.0000,0.9
117,0.6061,0.7049,0.7935,0.3476,0.2421,0.1165,0.0000,0.0000,0.0000,0.9
118,0.6060,0.7052,0.7920,0.3464,0.2414,0.1159,0.0000,0.0000,0.0000,1.0
119,0.6031,0.7075,0.7956,0.3443,0.2411,0.1141,0.0000,0.0000,0.0000,0.9
120,0.6020,0.7073,0.7944,0.3433,0.2405,0.1136,0.7005,0.7875,0.3593,2.8
121,0.6091,0.7016,0.7899,0.3516,0.2442,0.1175,0.0000,0.0000,0.0000,0.9
122,0.6033,0.7072,0.7996,0.3451,0.2408,0.1151,0.0000,0.0000,0.0000,1.0
123,0.6032,0.7069,0.7945,0.3449,0.2408,0.1146,0.0000,0.0000,0.0000,0.9
124,0.6034,0.7068,0.7972,0.3451,0.2416,0.1145,0.0000,0.0000,0.0000,1.0
125,0.5986,0.7088,0.7966,0.3412,0.2388,0.1133,0.6871,0.7695,0.3954,2.7
126,0.6261,0.6953,0.7845,0.3664,0.2517,0.1303,0.0000,0.0000,0.0000,2.4
127,0.6207,0.7019,0.7908,0.3594,0.2482,0.1266,0.0000,0.0000,0.0000,1.0
128,0.6149,0.7040,0.7935,0.3549,0.2455,0.1240,0.0000,0.0000,0.0000,1.0
129,0.6145,0.7006,0.7865,0.3574,0.2476,0.1245,0.0000,0.0000,0.0000,0.9
130,0.6183,0.7006,0.7934,0.3615,0.2512,0.1258,0.6901,0.7770,0.3590,2.9
131,0.6161,0.7024,0.7910,0.3567,0.2464,0.1245,0.0000,0.0000,0.0000,0.9
132,0.6140,0.7024,0.7920,0.3550,0.2461,0.1233,0.0000,0.0000,0.0000,1.0
133,0.6108,0.7045,0.7958,0.3551,0.2480,0.1220,0.0000,0.0000,0.0000,0.9
134,0.6137,0.7047,0.7896,0.3547,0.2455,0.1232,0.0000,0.0000,0.0000,1.0
135,0.6105,0.7040,0.7893,0.3542,0.2464,0.1229,0.6963,0.7845,0.3603,2.8
136,0.6101,0.7033,0.7933,0.3569,0.2490,0.1231,0.0000,0.0000,0.0000,1.0
137,0.6094,0.7059,0.7964,0.3528,0.2467,0.1208,0.0000,0.0000,0.0000,0.9
138,0.6043,0.7070,0.7979,0.3489,0.2440,0.1190,0.0000,0.0000,0.0000,0.9
139,0.6005,0.7088,0.8028,0.3479,0.2445,0.1179,0.0000,0.0000,0.0000,0.9
140,0.6055,0.7080,0.8014,0.3502,0.2452,0.1195,0.7139,0.8120,0.3548,2.7
141,0.6050,0.7054,0.7958,0.3471,0.2429,0.1178,0.0000,0.0000,0.0000,1.0
142,0.6066,0.7055,0.7962,0.3534,0.2475,0.1203,0.0000,0.0000,0.0000,0.9
143,0.6000,0.7093,0.8022,0.3469,0.2438,0.1174,0.0000,0.0000,0.0000,1.0
144,0.6006,0.7073,0.7972,0.3489,0.2449,0.1186,0.0000,0.0000,0.0000,0.9
145,0.6019,0.7053,0.7994,0.3521,0.2486,0.1184,0.6667,0.7575,0.3903,2.8
146,0.6017,0.7079,0.8037,0.3493,0.2454,0.1185,0.0000,0.0000,0.0000,0.9
147,0.5986,0.7102,0.8029,0.3467,0.2450,0.1163,0.0000,0.0000,0.0000,0.9
148,0.5959,0.7100,0.8015,0.3435,0.2424,0.1151,0.0000,0.0000,0.0000,0.9
149,0.6012,0.7075,0.8032,0.3507,0.2470,0.1181,0.0000,0.0000,0.0000,1.0
150,0.5972,0.7087,0.8060,0.3482,0.2459,0.1171,0.6725,0.7615,0.3906,2.8
151,0.6382,0.6873,0.7739,0.3737,0.2527,0.1313,0.0000,0.0000,0.0000,2.4
152,0.6301,0.6941,0.7759,0.3624,0.2458,0.1260,0.0000,0.0000,0.0000,1.0
