epoch,loss,acc,acc_final20,norm,early,late,val_acc,val_acc_f20,val_norm,time_s
62,0.6170,0.6998,0.7901,0.3531,0.2415,0.1231,0.0000,0.0000,0.0000,1.0
63,0.6154,0.7034,0.7923,0.3508,0.2404,0.1210,0.0000,0.0000,0.0000,1.0
64,0.6181,0.6986,0.7878,0.3530,0.2417,0.1210,0.0000,0.0000,0.0000,1.0
65,0.6153,0.7002,0.7889,0.3524,0.2423,0.1212,0.6887,0.7890,0.3760,2.9
66,0.6172,0.6994,0.7896,0.3532,0.2415,0.1221,0.0000,0.0000,0.0000,1.0
67,0.6100,0.7041,0.7958,0.3458,0.2373,0.1189,0.0000,0.0000,0.0000,0.9
68,0.6152,0.7008,0.7874,0.3519,0.2418,0.1215,0.0000,0.0000,0.0000,1.0
69,0.6141,0.7031,0.7940,0.3520,0.2429,0.1203,0.0000,0.0000,0.0000,1.0
70,0.6120,0.7013,0.7903,0.3503,0.2420,0.1184,0.6656,0.7565,0.3898,2.9
71,0.6087,0.7046,0.7944,0.3474,0.2405,0.1178,0.0000,0.0000,0.0000,1.0
72,0.6129,0.7010,0.7909,0.3509,0.2415,0.1199,0.0000,0.0000,0.0000,0.9
73,0.6084,0.7044,0.7947,0.3491,0.2410,0.1191,0.0000,0.0000,0.0000,1.0
74,0.6061,0.7061,0.7968,0.3440,0.2380,0.1169,0.0000,0.0000,0.0000,1.0
75,0.6027,0.7072,0.8002,0.3425,0.2377,0.1157,0.6949,0.7870,0.3566,2.9
76,0.6482,0.6843,0.7647,0.3783,0.2521,0.1380,0.0000,0.0000,0.0000,2.6
77,0.6399,0.6892,0.7700,0.3711,0.2489,0.1340,0.0000,0.0000,0.0000,1.0
78,0.6366,0.6924,0.7721,0.3677,0.2476,0.1311,0.0000,0.0000,0.0000,1.0
79,0.6355,0.6897,0.7740,0.3666,0.2464,0.1314,0.0000,0.0000,0.0000,0.9
80,0.6311,0.6941,0.7754,0.3633,0.2452,0.1294,0.6949,0.7965,0.3681,2.8
81,0.6322,0.6945,0.7790,0.3631,0.2443,0.1297,0.0000,0.0000,0.0000,1.0
82,0.6330,0.6929,0.7768,0.3645,0.2473,0.1284,0.0000,0.0000,0.0000,0.9
83,0.6319,0.6930,0.7755,0.3632,0.2441,0.1296,0.0000,0.0000,0.0000,1.0
84,0.6260,0.6972,0.7822,0.3600,0.2447,0.1263,0.0000,0.0000,0.0000,1.0
85,0.6278,0.6955,0.7757,0.3587,0.2435,0.1263,0.6815,0.7750,0.3768,2.8
86,0.6287,0.6954,0.7806,0.3601,0.2449,0.1268,0.0000,0.0000,0.0000,0.9
87,0.6251,0.6949,0.7771,0.3620,0.2461,0.1273,0.0000,0.0000,0.0000,1.0
88,0.6243,0.6973,0.7817,0.3598,0.2453,0.1257,0.0000,0.0000,0.0000,0.9
89,0.6241,0.6954,0.7798,0.3592,0.2449,0.1260,0.0000,0.0000,0.0000,1.0
90,0.6233,0.6966,0.7828,0.3593,0.2443,0.1256,0.6943,0.7890,0.3609,3.0
91,0.6205,0.6957,0.7770,0.3583,0.2451,0.1240,0.0000,0.0000,0.0000,1.0
92,0.6207,0.6984,0.7872,0.3574,0.2439,0.1238,0.0000,0.0000,0.0000,1.2
93,0.6249,0.6946,0.7786,0.3615,0.2465,0.1251,0.0000,0.0000,0.0000,1.2
94,0.6178,0.7000,0.7848,0.3549,0.2450,0.1210,0.0000,0.0000,0.0000,1.0
95,0.6196,0.6972,0.7817,0.3582,0.2456,0.1238,0.6989,0.8015,0.3580,2.8
96,0.6239,0.6954,0.7800,0.3602,0.2460,0.1247,0.0000,0.0000,0.0000,0.9
97,0.6175,0.6981,0.7851,0.3571,0.2446,0.1237,0.0000,0.0000,0.0000,1.0
98,0.6158,0.6985,0.7827,0.3556,0.2436,0.1232,0.0000,0.0000,0.0000,1.0
99,0.6140,0.6995,0.7865,0.3529,0.2440,0.1196,0.0000,0.0000,0.0000,0.9
100,0.6148,0.6987,0.7842,0.3539,0.2440,0.1211,0.6626,0.7460,0.3829,2.8
101,0.6347,0.6918,0.7750,0.3667,0.2482,0.1286,0.0000,0.0000,0.0000,2.5
102,0.6304,0.6949,0.7789,0.3642,0.2485,0.1266,0.0000,0.0000,0.0000,0.9
103,0.6268,0.6965,0.7812,0.3622,0.2470,0.1258,0.0000,0.0000,0.0000,1.0
104,0.6245,0.6971,0.7781,0.3603,0.2447,0.1263,0.0000,0.0000,0.0000,1.0
105,0.6222,0.7009,0.7856,0.3546,0.2429,0.1228,0.7104,0.8010,0.3537,2.8
106,0.6203,0.7006,0.7862,0.3553,0.2433,0.1218,0.0000,0.0000,0.0000,0.9
107,0.6199,0.6992,0.7834,0.3564,0.2441,0.1230,0.0000,0.0000,0.0000,0.9
108,0.6186,0.7010,0.7908,0.3541,0.2425,0.1224,0.0000,0.0000,0.0000,1.0
109,0.6202,0.7014,0.7856,0.3536,0.2408,0.1226,0.0000,0.0000,0.0000,1.0
110,0.6189,0.7002,0.7908,0.3546,0.2447,0.1203,0.6985,0.7945,0.3665,2.8
111,0.6201,0.6982,0.7850,0.3575,0.2458,0.1227,0.0000,0.0000,0.0000,1.0
112,0.6177,0.7009,0.7900,0.3551,0.2447,0.1210,0.0000,0.0000,0.0000,0.9
113,0.6118,0.7060,0.7884,0.3478,0.2394,0.1189,0.0000,0.0000,0.0000,0.9
114,0.6160,0.7033,0.7881,0.3496,0.2400,0.1195,0.0000,0.0000,0.0000,0.9
115,0.6134,0.7014,0.7882,0.3523,0.2429,0.1200,0.7012,0.7805,0.3614,2.9
116,0.6124,0.7041,0.7896,0.3500,0.2407,0.1192,0.0000,0.0000,0.0000,1.0
117,0.6121,0.7040,0.7897,0.3501,0.2405,0.1205,0.0000,0.0000,0.0000,1.0
118,0.6109,0.7042,0.7921,0.3494,0.2421,0.1173,0.0000,0.0000,0.0000,1.0
